localAuth_wardNumber	ZAPU	ZANU_PF	ZDP	MDC	MDC_T	rejected_votes	unaccounted_ballot	total_votes	total_valid_votes
1**Beitbridge RDC	10	861	10	24	101	67	0	1073	1006
1**Beitbridge Town Council	7	515	0	23	431	15	0	991	976
1**Bikita RDC	13	781	5	19	250	39	0	1107	1068
1**Bindura Municipality	2	1044	0	9	906	17	0	1978	1961
1**Bindura RDC	3	2287	1	0	27	18	2	2336	2318
1**Binga RDC	15	512	5	75	457	64	0	1128	1064
1**Bubi RDC	9	901	0	20	118	34	0	1082	1048
1**Buhera RDC	12	999	3	66	600	26	0	1706	1680
1**Bulawayo City Council	24	743	0	179	1369	12	0	2327	2315
1**Bulilima RDC	14	427	13	56	523	25	0	1058	1033
1**Chaminuka RDC	5	1432	2	23	141	17	0	1620	1603
1**Chegutu Municipality	1	119	2	2	210	4	0	338	334
1**Chegutu RDC	8	1258	5	63	589	27	0	1950	1923
1**Chikomba RDC	11	1111	3	5	118	35	0	1283	1248
1**Chimanimani RDC	10	1501	2	6	222	29	0	1770	1741
1**Chinhoyi Municipality	0	232	0	8	303	8	0	551	543
1**Chipinge RDC	10	1429	2	55	897	48	0	2441	2393
1**Chipinge Town Council	4	309	0	6	415	10	0	744	734
1**Chiredzi RDC	7	1087	6	37	399	26	0	1562	1536
1**Chitungwiza Municipality	0	786	3	40	946	23	0	1798	1775
1**Chivi RDC	6	1035	7	46	569	44	0	1707	1663
1**Epworth Local Board	7	2357	4	60	2058	85	0	4571	4486
1**Gokwe North RDC	12	484	6	63	573	52	0	1190	1138
1**Gokwe South RDC	38	1931	14	75	502	125	0	2685	2560
1**Gokwe Town Council	0	242	1	3	238	5	0	489	484
1**Goromonzi RDC	21	1342	9	63	1227	59	0	2721	2662
1**Guruve RDC	16	3434	4	10	85	43	0	3592	3549
1**Gutu RDC	17	3762	1	13	173	31	0	3997	3966
1**Gwanda Municipality	2	284	0	23	259	4	0	572	568
1**Gwanda R.D.C	11	414	9	124	655	19	0	1232	1213
1**Gweru Municipality	0	453	3	27	934	10	0	1427	1417
1**Harare Municipality	74	19164	31	422	9519	624	0	29834	29210
1**Hurungwe RDC	19	2367	9	17	271	60	0	2743	2683
1**Hwange Local Board	0	145	0	9	338	15	0	507	492
1**Hwange RDC	8	1106	3	26	133	40	0	1316	1276
1**Insiza RDC	15	362	13	161	420	15	0	986	971
1**Kadoma City Council	5	789	0	12	566	40	0	1412	1372
1**Kariba Municipality	1	707	0	18	969	37	0	1732	1695
1**Karoi Town Council	1	326	1	9	247	14	0	598	584
1**Kusile RDC	6	267	8	72	252	9	0	614	605
1**Kwekwe Municipality	3	980	4	43	1578	23	0	2631	2605
1**Makonde RDC	15	2415	1	2	40	28	0	2501	2473
1**Makoni RDC	13	871	9	26	311	26	0	1256	1230
1**Mangwe RDC	15	415	11	50	327	8	0	826	818
1**Manyame RDC	11	1272	3	69	1334	29	4	2718	2689
1**Marondera Municipality	2	984	2	20	709	12	1	1729	1717
1**Marondera RDC	6	1458	2	6	221	16	1	1709	1693
1**Masvingo Municipality	3	791	1	22	754	31	0	1602	1571
1**Masvingo RDC	10	806	8	73	618	44	0	1559	1515
1**Matobo RDC	20	373	11	70	450	17	0	941	924
1**Mazowe RDC	20	974	10	26	197	36	0	1263	1227
1**Mberengwa RDC	11	1208	2	15	116	25	0	1377	1352
1**Mbire RDC	12	690	5	29	169	20	0	925	905
1**Mhondoro-Ngezi RDC	6	986	2	20	447	33	0	1494	1461
1**Mudzi RDC	11	2089	2	28	509	28	0	2667	2639
1**Murewa RDC	13	1173	8	25	223	24	0	1466	1442
1**Mutare Municipality	4	673	3	47	1832	23	0	2582	2559
1**Mutare RDC	20	2624	4	37	544	92	0	3321	3229
1**Mutasa RDC	14	926	9	65	800	75	0	1889	1814
1**Mutoko RDC	15	1536	0	8	147	15	0	1721	1706
1**Muzarabani RDC	9	1982	1	12	93	39	0	2136	2097
1**Mwenezi RDC	12	793	1	51	313	59	0	1229	1170
1**Nkayi RDC	19	413	8	119	412	41	0	1012	971
1**Norton Town Council	2	346	1	279	468	14	0	1110	1096
1**Nyaminyami RDC	1	323	0	6	118	2	0	450	448
1**Nyanga RDC	14	750	2	32	413	51	0	1262	1211
1**Pfura RDC	5	1080	1	4	59	38	0	1187	1149
1**Plumtree Town Council	9	335	1	55	467	22	0	889	867
1**Redcliff Municipality	1	228	1	20	495	6	0	751	745
1**Runde RDC	3	430	0	20	161	7	0	621	614
1**Rusape Town Council	2	400	1	16	521	12	0	952	940
1**Rushinga RDC	3	1018	1	3	17	27	0	1069	1042
1**Ruwa Local Board	2	519	0	13	1105	9	0	1648	1639
1**Sanyati RDC	16	2945	3	7	191	116	0	3278	3162
1**Shurugwi Town Council	0	170	0	2	143	8	0	323	315
1**Takawira RDC	12	705	3	37	450	29	0	1236	1207
1**Tongogara RDC	16	1051	0	5	165	47	0	1284	1237
1**Tsholotsho RDC	10	315	7	120	393	22	0	867	845
1**Umguza RDC	27	589	3	84	472	30	0	1205	1175
1**Umzingwane RDC	17	546	6	41	334	14	0	958	944
1**Victoria Falls Municipality	3	110	1	8	217	0	0	339	339
1**Vungu RDC	29	1000	7	194	114	12	0	1356	1344
1**Wedza RDC	10	1797	4	8	79	26	0	1924	1898
1**Zaka RDC	12	738	2	29	345	55	0	1181	1126
1**Zibagwe RDC	5	1958	2	2	57	57	0	2081	2024
1**Zvataida RDC	14	2251	3	9	63	17	0	2357	2340
1**Zvimba RDC	15	1388	4	36	295	28	0	1766	1738
1**Zvishavane Town Council	2	398	0	19	354	13	0	786	773
10**Beitbridge RDC	20	986	9	49	319	63	0	1446	1383
10**Bikita RDC	18	1213	7	35	321	63	0	1657	1594
10**Bindura Municipality	1	472	0	29	735	15	0	1252	1237
10**Bindura RDC	15	1058	7	49	422	38	0	1589	1551
10**Binga RDC	5	191	6	63	1047	77	0	1389	1312
10**Bubi RDC	9	373	1	20	236	22	0	661	639
10**Buhera RDC	25	1715	2	74	701	40	0	2557	2517
10**Bulawayo City Council	62	1277	14	365	3905	54	0	5677	5623
10**Bulilima RDC	6	519	5	176	230	24	0	960	936
10**Chaminuka RDC	8	1160	1	12	109	33	0	1323	1290
10**Chegutu Municipality	0	548	1	10	776	17	0	1352	1335
10**Chegutu RDC	22	1408	8	95	839	65	0	2437	2372
10**Chikomba RDC	3	544	0	11	276	10	0	844	834
10**Chimanimani RDC	11	570	1	24	112	22	0	740	718
10**Chinhoyi Municipality	0	369	0	7	455	3	0	834	831
10**Chipinge RDC	8	971	4	13	179	25	0	1200	1175
10**Chiredzi RDC	28	1771	3	27	256	37	0	2122	2085
10**Chitungwiza Municipality	0	825	3	30	1460	20	0	2338	2318
10**Chivi RDC	17	1007	2	14	195	41	0	1276	1235
10**Gokwe North RDC	36	1906	12	37	248	135	0	2374	2239
10**Gokwe South RDC	27	1784	12	85	929	81	0	2918	2837
10**Goromonzi RDC	8	1271	4	33	397	29	0	1742	1713
10**Guruve RDC	5	842	5	30	190	26	0	1098	1072
10**Gutu RDC	23	1079	10	78	542	20	0	1752	1732
10**Gwanda Municipality	5	127	1	13	151	4	0	301	297
10**Gwanda R.D.C	0	19	2	13	29	0	0	63	63
10**Gweru Municipality	5	669	1	25	1631	22	0	2353	2331
10**Harare Municipality	9	1495	2	79	3976	39	0	5600	5561
10**Hurungwe RDC	16	2624	8	56	718	45	1	3467	3422
10**Hwange Local Board	1	140	1	17	657	16	0	832	816
10**Hwange RDC	26	488	15	78	936	69	0	1612	1543
10**Insiza RDC	11	193	2	63	240	15	0	524	509
10**Kadoma City Council	6	804	0	27	955	36	0	1828	1792
10**Karoi Town Council	5	619	1	22	621	41	0	1309	1268
10**Kusile RDC	16	309	15	160	595	27	0	1122	1095
10**Kwekwe Municipality	7	579	0	42	901	32	0	1561	1529
10**Makonde RDC	3	719	1	12	174	5	0	914	909
10**Makoni RDC	11	932	4	43	484	33	0	1507	1474
10**Mangwe RDC	18	302	19	145	317	42	0	843	801
10**Manyame RDC	11	1198	7	18	432	25	0	1691	1666
10**Marondera Municipality	4	838	2	22	971	20	0	1857	1837
10**Marondera RDC	13	611	4	49	566	44	0	1287	1243
10**Masvingo Municipality	3	2804	3	10	755	73	0	3648	3575
10**Masvingo RDC	16	1450	3	31	510	30	0	2040	2010
10**Matobo RDC	8	390	3	38	418	13	0	870	857
10**Mazowe RDC	12	1305	5	53	607	79	0	2061	1982
10**Mberengwa RDC	8	625	3	40	289	22	0	987	965
10**Mbire RDC	9	2102	1	38	210	46	0	2406	2360
10**Mhondoro-Ngezi RDC	4	1253	1	8	122	21	0	1409	1388
10**Mudzi RDC	15	2553	8	42	602	32	0	3252	3220
10**Murewa RDC	8	1513	3	18	198	30	0	1770	1740
10**Mutare Municipality	2	697	1	9	648	10	0	1367	1357
10**Mutare RDC	22	1462	6	92	568	32	0	2182	2150
10**Mutasa RDC	11	292	8	56	862	17	0	1246	1229
10**Mutoko RDC	6	1422	4	20	167	29	0	1648	1619
10**Muzarabani RDC	16	1668	4	16	155	44	0	1903	1859
10**Mwenezi RDC	36	1533	4	36	152	45	0	1806	1761
10**Nkayi RDC	14	360	10	48	314	44	0	790	746
10**Norton Town Council	2	751	1	21	1205	21	0	2001	1980
10**Nyaminyami RDC	2	595	0	1	30	8	0	636	628
10**Nyanga RDC	12	662	2	35	463	16	0	1190	1174
10**Pfura RDC	16	3003	5	20	206	50	0	3300	3250
10**Runde RDC	6	827	1	26	305	26	0	1191	1165
10**Rusape Town Council	1	509	0	13	510	10	0	1043	1033
10**Rushinga RDC	12	1696	7	18	124	41	0	1898	1857
10**Sanyati RDC	6	1061	5	31	347	26	0	1476	1450
10**Shurugwi Town Council	4	386	0	5	130	9	0	534	525
10**Takawira RDC	3	453	2	9	134	8	0	609	601
10**Tongogara RDC	12	953	12	52	643	33	0	1705	1672
10**Tsholotsho RDC	37	348	8	83	344	16	0	836	820
10**Umguza RDC	12	442	5	37	107	23	0	626	603
10**Umzingwane RDC	3	192	2	64	159	11	0	431	420
10**Victoria Falls Municipality	6	302	2	24	388	8	0	730	722
10**Vungu RDC	7	408	2	21	444	18	0	900	882
10**Wedza RDC	11	788	0	28	211	10	0	1048	1038
10**Zaka RDC	11	1169	4	49	331	21	0	1585	1564
10**Zibagwe RDC	14	1085	5	81	793	40	0	2018	1978
10**Zvataida RDC	18	2417	3	7	42	28	0	2515	2487
10**Zvimba RDC	8	687	7	28	192	16	0	938	922
10**Zvishavane Town Council	1	486	3	40	967	29	0	1526	1497
11**Beitbridge RDC	30	1161	17	59	265	67	0	1599	1532
11**Bikita RDC	10	1314	13	54	577	65	0	2033	1968
11**Bindura Municipality	3	521	0	17	462	27	0	1030	1003
11**Bindura RDC	7	955	2	32	353	17	0	1366	1349
11**Binga RDC	7	391	14	52	780	68	0	1312	1244
11**Bubi RDC	30	665	11	74	589	38	0	1407	1369
11**Buhera RDC	9	1087	5	31	531	74	0	1737	1663
11**Bulawayo City Council	44	811	1	354	2392	25	0	3627	3602
11**Bulilima RDC	12	503	18	115	400	18	0	1066	1048
11**Chaminuka RDC	19	1398	5	19	158	116	1	1715	1599
11**Chegutu Municipality	1	539	2	20	1082	28	0	1672	1644
11**Chegutu RDC	12	1676	4	15	192	16	0	1915	1899
11**Chikomba RDC	1	459	0	7	303	8	0	778	770
11**Chimanimani RDC	0	453	0	1	25	37	0	516	479
11**Chinhoyi Municipality	6	439	1	5	426	12	0	889	877
11**Chipinge RDC	10	679	3	14	90	21	0	817	796
11**Chiredzi RDC	54	1952	17	62	469	63	0	2617	2554
11**Chitungwiza Municipality	2	687	1	23	1261	12	0	1986	1974
11**Chivi RDC	10	1068	3	17	288	23	0	1409	1386
11**Gokwe North RDC	11	1526	12	50	620	66	1	2285	2219
11**Gokwe South RDC	30	1744	14	88	930	72	0	2878	2806
11**Goromonzi RDC	13	1573	15	71	707	63	0	2442	2379
11**Guruve RDC	26	1744	8	41	254	55	0	2128	2073
11**Gutu RDC	30	1321	11	77	431	31	0	1901	1870
11**Gwanda R.D.C	35	570	12	103	540	36	0	1296	1260
11**Gweru Municipality	0	573	0	31	1036	8	0	1648	1640
11**Harare Municipality	12	2214	2	105	3396	83	0	5812	5729
11**Hurungwe RDC	53	1875	16	91	1190	92	0	3317	3225
11**Hwange Local Board	2	116	2	32	1251	23	0	1426	1403
11**Hwange RDC	0	379	2	30	339	31	0	781	750
11**Insiza RDC	10	228	10	162	195	10	0	615	605
11**Kadoma City Council	4	892	1	23	984	31	0	1935	1904
11**Kusile RDC	13	488	8	76	507	30	0	1122	1092
11**Kwekwe Municipality	6	1199	2	48	1177	57	0	2489	2432
11**Makonde RDC	31	2671	2	31	694	48	0	3477	3429
11**Makoni RDC	12	1160	2	15	314	23	0	1526	1503
11**Mangwe RDC	28	611	4	21	80	14	7	758	744
11**Manyame RDC	3	134	1	8	142	3	0	291	288
11**Marondera Municipality	1	297	1	4	230	6	0	539	533
11**Marondera RDC	8	1039	7	60	561	49	1	1724	1675
11**Masvingo RDC	7	572	2	29	331	30	0	971	941
11**Matobo RDC	10	438	3	36	328	15	0	830	815
11**Mazowe RDC	20	1498	5	62	586	47	0	2218	2171
11**Mberengwa RDC	6	724	5	34	304	24	0	1097	1073
11**Mbire RDC	11	604	2	1	13	13	0	644	631
11**Mhondoro-Ngezi RDC	14	2016	1	40	935	73	0	3079	3006
11**Mudzi RDC	10	1840	4	39	323	55	0	2271	2216
11**Murewa RDC	36	1811	11	94	786	39	0	2777	2738
11**Mutare Municipality	3	768	1	19	1763	23	0	2577	2554
11**Mutare RDC	23	1285	6	84	613	70	0	2081	2011
11**Mutasa RDC	16	1091	13	143	1548	55	0	2866	2811
11**Mutoko RDC	13	1692	5	31	447	69	0	2257	2188
11**Muzarabani RDC	3	1106	1	2	36	18	0	1166	1148
11**Mwenezi RDC	20	1491	3	10	73	80	0	1677	1597
11**Nkayi RDC	10	191	5	28	259	28	0	521	493
11**Norton Town Council	0	592	0	14	868	11	0	1485	1474
11**Nyaminyami RDC	5	991	3	7	51	19	0	1076	1057
11**Nyanga RDC	4	704	3	37	428	33	0	1209	1176
11**Pfura RDC	21	2213	8	15	107	27	0	2391	2364
11**Runde RDC	2	596	4	17	347	17	0	983	966
11**Rushinga RDC	3	1091	4	4	44	5	0	1151	1146
11**Sanyati RDC	7	1411	4	39	625	35	0	2121	2086
11**Shurugwi Town Council	2	391	2	11	223	6	0	635	629
11**Takawira RDC	11	864	3	18	232	52	0	1180	1128
11**Tongogara RDC	8	846	4	36	538	43	0	1475	1432
11**Tsholotsho RDC	102	129	7	50	204	9	0	501	492
11**Umguza RDC	20	384	8	118	648	54	0	1232	1178
11**Umzingwane RDC	5	319	1	43	242	16	0	626	610
11**Victoria Falls Municipality	20	731	4	128	1503	34	0	2420	2386
11**Vungu RDC	10	846	10	52	693	29	0	1640	1611
11**Wedza RDC	11	771	3	34	260	17	0	1096	1079
11**Zaka RDC	30	922	11	72	467	53	0	1555	1502
11**Zibagwe RDC	41	856	12	61	520	30	0	1520	1490
11**Zvataida RDC	17	2912	4	7	58	14	0	3012	2998
11**Zvimba RDC	4	896	6	23	157	12	0	1098	1086
12**Beitbridge RDC	31	1025	14	54	334	81	0	1539	1458
12**Bikita RDC	7	917	5	41	383	41	0	1394	1353
12**Bindura Municipality	3	854	1	16	746	28	0	1648	1620
12**Bindura RDC	8	1049	2	25	213	15	0	1312	1297
12**Binga RDC	10	304	7	35	605	24	0	985	961
12**Bubi RDC	27	649	5	42	170	23	0	916	893
12**Buhera RDC	9	1356	5	61	638	92	0	2161	2069
12**Bulawayo City Council	64	1150	4	269	3329	42	0	4858	4816
12**Bulilima RDC	17	399	14	181	407	36	0	1054	1018
12**Chaminuka RDC	11	1477	2	16	135	51	0	1692	1641
12**Chegutu Municipality	9	891	4	26	1506	76	0	2512	2436
12**Chegutu RDC	7	1475	0	7	56	32	0	1577	1545
12**Chikomba RDC	2	461	1	4	263	10	0	741	731
12**Chimanimani RDC	7	853	4	31	380	29	0	1304	1275
